2;0.0922657;2.16765
4;0.158102;5.06001
8;0.235384;10.1961
16;0.317558;20.1538
32;0.0398443;40.1563
64;0.0488521;78.6046
128;0.0565056;158.568
256;0.0677235;302.406
512;0.00802442;574.247
1024;0.010441;980.75
2048;0.0130761;1722.83
4096;0.0214846;2287.78
8192;0.00312692;3405.78
16384;0.0055301;4147.77
32768;0.00920235;5341.25
65536;0.0206692;5073.14
131072;0.00365953;6088.83
262144;0.0099486;4742.97
524288;0.0193026;5160.68
1.04858e+06;0.0408526;5133.46
2.09715e+06;0.0824241;5343.12
4.1943e+06;0.27656;3336.51
8.38861e+06;0.443155;4353.73
1.67772e+07;1.0462;3848.72
3.35544e+07;1.80582;4645.32
6.71089e+07;4.3978;3967.5
