2;0.0854437;2.34072
4;0.175707;4.55303
8;0.28097;8.54183
16;0.390891;16.3728
32;0.0515847;31.0169
64;0.0639421;60.0544
128;0.0799964;112.005
256;0.0957414;213.91
512;0.0130458;353.217
1024;0.019868;515.401
2048;0.0296412;760.024
4096;0.0546704;899.06
8192;0.0115918;918.722
16384;0.0242454;946.06
32768;0.0480674;1022.57
65536;0.104251;1005.81
131072;0.0205766;1082.89
262144;0.0595824;791.944
524288;0.102052;976.114
1.04858e+06;0.184266;1138.11
2.09715e+06;0.414057;1063.63
4.1943e+06;0.843925;1093.4
8.38861e+06;1.47923;1304.32
1.67772e+07;2.51399;1601.65
3.35544e+07;4.56514;1837.54
6.71089e+07;16.9689;1028.25
