2;0.0110163;18.1548
4;0.0225519;35.4737
8;0.0342189;70.1368
16;0.0457852;139.783
32;0.00589022;271.637
64;0.00754991;508.615
128;0.00939562;953.636
256;0.0132867;1541.39
512;0.00164168;2806.88
1024;0.0031589;3241.64
2048;0.00476581;4727
4096;0.00876522;5607.62
8192;0.00169704;6275.38
16384;0.0032326;7095.72
32768;0.00577163;8516.13
65536;0.0124433;8426.84
131072;0.00247306;9009.97
262144;0.0105623;4467.39
524288;0.0175191;5686.05
1.04858e+06;0.0586263;3577.15
2.09715e+06;0.134981;3262.69
4.1943e+06;0.305019;3025.21
8.38861e+06;0.562542;3429.76
1.67772e+07;1.16934;3443.41
3.35544e+07;2.37581;3530.84
6.71089e+07;5.34809;3262.53
