2;0.00179439;111.458
4;0.00339254;235.812
8;0.00496726;483.164
16;0.00887112;721.442
32;0.00149049;1073.47
64;0.00316532;1213.15
128;0.00627968;1426.82
256;0.013011;1574.05
512;0.00258592;1781.96
1024;0.00567118;1805.62
2048;0.0131864;1708.43
4096;0.0258241;1903.34
8192;0.00588348;1810.08
16384;0.0133198;1722.07
32768;0.0237275;2071.52
65536;0.047184;2222.31
131072;0.00974692;2286.08
262144;0.0213885;2206.13
524288;0.0438305;2272.73
1.04858e+06;0.141879;1478.13
2.09715e+06;0.349175;1261.26
4.1943e+06;0.74776;1234.02
8.38861e+06;1.50788;1279.53
1.67772e+07;3.22584;1248.21
3.35544e+07;6.52741;1285.14
6.71089e+07;13.8974;1255.51
