2;0.0514794;3.88505
4;0.126358;6.33122
8;0.162597;14.7604
16;0.213495;29.9773
32;0.0272885;58.6328
64;0.0340298;112.842
128;0.0461329;194.221
256;0.0648163;315.97
512;0.00828903;555.916
1024;0.011303;905.953
2048;0.0199498;1129.24
4096;0.0504841;973.614
8192;0.00352009;3025.38
16384;0.00859392;2669.05
32768;0.0154664;3177.99
65536;0.033671;3114.18
131072;0.0071368;3122.16
262144;0.0245102;1925.16
524288;0.031598;3152.57
1.04858e+06;0.0971231;2159.27
2.09715e+06;0.693998;634.587
4.1943e+06;0.484629;1904.03
8.38861e+06;1.30757;1475.55
1.67772e+07;1.77325;2270.71
3.35544e+07;5.28208;1588.13
6.71089e+07;10.7576;1621.95
