2;0.244306;0.818645
4;0.526775;1.51867
8;0.670489;3.57947
16;0.874576;7.31784
32;0.116468;13.7377
64;0.145957;26.309
128;0.161093;55.6201
256;0.19107;107.186
512;0.0223515;206.16
1024;0.0292425;350.175
2048;0.0366481;614.711
4096;0.0542941;905.291
8192;0.00992422;1073.09
16384;0.0194125;1181.59
32768;0.0372951;1317.92
65536;0.0803857;1304.43
131072;0.0184424;1208.21
262144;0.0336105;1403.9
524288;0.0620489;1605.42
1.04858e+06;0.126673;1655.56
2.09715e+06;0.229597;1918.15
4.1943e+06;0.582555;1583.96
8.38861e+06;1.47723;1306.08
1.67772e+07;2.24821;1790.99
3.35544e+07;6.4631;1297.92
6.71089e+07;14.3081;1219.47
